空气阻力系数k = f / v^2 = 0.800000, 初速(m/s)(向上为正) = -100.000000, 物体质量(kg) = 1.000000, 计算时间精度(ms) = 1.000000, 总计算时间(ms) = 10000.000000
时间(ms),速度(m/s),加速度(m/s^2),位移(m),总位移(m),冲量(Ns),做功(j)
1440.000000,-3.501967,-0.011078,-0.003502,-8.321859,-96.498033,0.000039
1445.000000,-3.501912,-0.010771,-0.003502,-8.339369,-96.498088,0.000038
1450.000000,-3.501859,-0.010473,-0.003502,-8.356878,-96.498141,0.000037
1455.000000,-3.501808,-0.010182,-0.003502,-8.374388,-96.498192,0.000036
1460.000000,-3.501758,-0.009900,-0.003502,-8.391897,-96.498242,0.000035
1465.000000,-3.501709,-0.009626,-0.003502,-8.409405,-96.498291,0.000034
1470.000000,-3.501662,-0.009359,-0.003502,-8.426914,-96.498338,0.000033
1475.000000,-3.501616,-0.009100,-0.003502,-8.444422,-96.498384,0.000032
1480.000000,-3.501571,-0.008848,-0.003502,-8.461930,-96.498429,0.000031
1485.000000,-3.501527,-0.008603,-0.003502,-8.479438,-96.498473,0.000030
1490.000000,-3.501485,-0.008365,-0.003501,-8.496945,-96.498515,0.000029
1495.000000,-3.501444,-0.008133,-0.003501,-8.514452,-96.498556,0.000028
1500.000000,-3.501404,-0.007908,-0.003501,-8.531959,-96.498596,0.000028
1505.000000,-3.501365,-0.007689,-0.003501,-8.549466,-96.498635,0.000027
1510.000000,-3.501327,-0.007476,-0.003501,-8.566973,-96.498673,0.000026
1515.000000,-3.501290,-0.007269,-0.003501,-8.584480,-96.498710,0.000025
1520.000000,-3.501255,-0.007067,-0.003501,-8.601986,-96.498745,0.000025
1525.000000,-3.501220,-0.006872,-0.003501,-8.619492,-96.498780,0.000024
1530.000000,-3.501186,-0.006681,-0.003501,-8.636998,-96.498814,0.000023
1535.000000,-3.501153,-0.006496,-0.003501,-8.654504,-96.498847,0.000023
1540.000000,-3.501121,-0.006316,-0.003501,-8.672010,-96.498879,0.000022
1545.000000,-3.501090,-0.006141,-0.003501,-8.689515,-96.498910,0.000022
1550.000000,-3.501060,-0.005971,-0.003501,-8.707021,-96.498940,0.000021
1555.000000,-3.501031,-0.005806,-0.003501,-8.724526,-96.498969,0.000020
1560.000000,-3.501002,-0.005645,-0.003501,-8.742031,-96.498998,0.000020
1565.000000,-3.500975,-0.005489,-0.003501,-8.759536,-96.499025,0.000019
1570.000000,-3.500948,-0.005337,-0.003501,-8.777041,-96.499052,0.000019
1575.000000,-3.500921,-0.005189,-0.003501,-8.794545,-96.499079,0.000018
1580.000000,-3.500896,-0.005045,-0.003501,-8.812050,-96.499104,0.000018
1585.000000,-3.500871,-0.004905,-0.003501,-8.829554,-96.499129,0.000017
1590.000000,-3.500847,-0.004770,-0.003501,-8.847059,-96.499153,0.000017
1595.000000,-3.500823,-0.004638,-0.003501,-8.864563,-96.499177,0.000016
1600.000000,-3.500801,-0.004509,-0.003501,-8.882067,-96.499199,0.000016
1605.000000,-3.500778,-0.004384,-0.003501,-8.899571,-96.499222,0.000015
1610.000000,-3.500757,-0.004263,-0.003501,-8.917075,-96.499243,0.000015
1615.000000,-3.500736,-0.004145,-0.003501,-8.934578,-96.499264,0.000015
1620.000000,-3.500716,-0.004030,-0.003501,-8.952082,-96.499284,0.000014
1625.000000,-3.500696,-0.003918,-0.003501,-8.969586,-96.499304,0.000014
1630.000000,-3.500676,-0.003810,-0.003501,-8.987089,-96.499324,0.000013
1635.000000,-3.500658,-0.003704,-0.003501,-9.004592,-96.499342,0.000013
1640.000000,-3.500640,-0.003602,-0.003501,-9.022096,-96.499360,0.000013
1645.000000,-3.500622,-0.003502,-0.003501,-9.039599,-96.499378,0.000012
1650.000000,-3.500605,-0.003405,-0.003501,-9.057102,-96.499395,0.000012
1655.000000,-3.500588,-0.003311,-0.003501,-9.074605,-96.499412,0.000012
1660.000000,-3.500572,-0.003219,-0.003501,-9.092108,-96.499428,0.000011
1665.000000,-3.500556,-0.003130,-0.003501,-9.109611,-96.499444,0.000011
1670.000000,-3.500540,-0.003043,-0.003501,-9.127113,-96.499460,0.000011
1675.000000,-3.500525,-0.002959,-0.003501,-9.144616,-96.499475,0.000010
1680.000000,-3.500511,-0.002877,-0.003501,-9.162119,-96.499489,0.000010
1685.000000,-3.500497,-0.002797,-0.003500,-9.179621,-96.499503,0.000010
1690.000000,-3.500483,-0.002720,-0.003500,-9.197123,-96.499517,0.000010
1695.000000,-3.500470,-0.002645,-0.003500,-9.214626,-96.499530,0.000009
1700.000000,-3.500457,-0.002571,-0.003500,-9.232128,-96.499543,0.000009
1705.000000,-3.500444,-0.002500,-0.003500,-9.249630,-96.499556,0.000009
1710.000000,-3.500432,-0.002431,-0.003500,-9.267133,-96.499568,0.000009
1715.000000,-3.500420,-0.002364,-0.003500,-9.284635,-96.499580,0.000008
1720.000000,-3.500408,-0.002298,-0.003500,-9.302137,-96.499592,0.000008
1725.000000,-3.500397,-0.002234,-0.003500,-9.319639,-96.499603,0.000008
1730.000000,-3.500386,-0.002173,-0.003500,-9.337141,-96.499614,0.000008
1735.000000,-3.500375,-0.002112,-0.003500,-9.354643,-96.499625,0.000007
1740.000000,-3.500365,-0.002054,-0.003500,-9.372145,-96.499635,0.000007
1745.000000,-3.500355,-0.001997,-0.003500,-9.389646,-96.499645,0.000007
1750.000000,-3.500345,-0.001942,-0.003500,-9.407148,-96.499655,0.000007
1755.000000,-3.500335,-0.001888,-0.003500,-9.424650,-96.499665,0.000007
1760.000000,-3.500326,-0.001836,-0.003500,-9.442151,-96.499674,0.000006
1765.000000,-3.500317,-0.001785,-0.003500,-9.459653,-96.499683,0.000006
1770.000000,-3.500308,-0.001735,-0.003500,-9.477155,-96.499692,0.000006
1775.000000,-3.500300,-0.001687,-0.003500,-9.494656,-96.499700,0.000006
1780.000000,-3.500291,-0.001641,-0.003500,-9.512158,-96.499709,0.000006
1785.000000,-3.500283,-0.001595,-0.003500,-9.529659,-96.499717,0.000006
1790.000000,-3.500275,-0.001551,-0.003500,-9.547160,-96.499725,0.000005
1795.000000,-3.500268,-0.001508,-0.003500,-9.564662,-96.499732,0.000005
